Date,open,high,low,close,volume,returns,ema_5,ema_15,range,avg_iv,iv_spread,pcr_oi,pcr_vol,delta_neutral_ratio,gamma_exposure,ema_spread,regime,regime_label
2025-10-24 03:45:00+00:00,25939.30078125,25939.30078125,25846.05078125,25850.80078125,0.0,,25850.80078125,25850.80078125,93.25,20,0,1,1,1,10340.320312500002,0.0,1,0
2025-10-24 03:50:00+00:00,25851.150390625,25892.400390625,25840.400390625,25886.0,0.0,0.0013616297246594,25862.53385416667,25855.20068359375,52.0,20,0,1,1,1,10354.4,7.333170572921517,1,0
2025-10-24 03:55:00+00:00,25886.30078125,25893.30078125,25859.5,25886.400390625,0.0,1.54674582786285e-05,25870.48936631945,25859.100646972656,33.80078125,20,0,1,1,1,10354.56015625,11.38871934679264,2,1
2025-10-24 04:00:00+00:00,25885.849609375,25887.599609375,25864.5,25875.400390625,0.0,-0.0004249335494317,25872.1263744213,25861.1381149292,23.099609375,20,0,1,1,1,10350.16015625,10.988259492100042,2,1
2025-10-24 04:05:00+00:00,25876.150390625,25914.69921875,25862.55078125,25914.30078125,0.0,0.0015033734758784,25886.18451003087,25867.7834482193,52.1484375,20,0,1,1,1,10365.7203125,18.401061811571708,1,0
2025-10-24 04:10:00+00:00,25913.19921875,25913.30078125,25883.44921875,25903.5,0.0,-0.0004167884497896,25891.956340020584,25872.248017191887,29.8515625,20,0,1,1,1,10361.4,19.70832282869742,2,1
2025-10-24 04:15:00+00:00,25903.5,25904.150390625,25881.94921875,25883.19921875,0.0,-0.0007837080413843,25889.03729959706,25873.61691738665,22.201171875,20,0,1,1,1,10353.2796875,15.420382210410025,2,1
2025-10-24 04:20:00+00:00,25883.75,25883.75,25864.099609375,25865.30078125,0.0,-0.000691507929477,25881.12512681471,25872.57740036957,19.650390625,20,0,1,1,1,10346.1203125,8.547726445140142,2,1
2025-10-24 04:25:00+00:00,25865.69921875,25894.0,25865.19921875,25893.099609375,0.0,0.0010747537158026,25885.116621001474,25875.14267649525,28.80078125,20,0,1,1,1,10357.23984375,9.973944506225962,2,1
2025-10-24 04:30:00+00:00,25893.19921875,25901.900390625,25884.69921875,25885.900390625,0.0,-0.0002780361895102,25885.37787754265,25876.487390761467,17.201171875,20,0,1,1,1,10354.36015625,8.890486781183427,2,1
2025-10-24 04:35:00+00:00,25885.599609375,25902.650390625,25880.94921875,25901.30078125,0.0,0.0005949335504118,25890.68551211177,25879.58906457253,21.701171875,20,0,1,1,1,10360.5203125,11.096447539239307,2,1
2025-10-24 04:40:00+00:00,25900.900390625,25903.0,25873.849609375,25876.19921875,0.0,-0.0009691236247938,25885.856747657846,25879.16533384472,29.150390625,20,0,1,1,1,10350.4796875,6.691413813125109,2,1
2025-10-24 04:45:00+00:00,25875.75,25875.75,25834.400390625,25834.400390625,0.0,-0.0016153387818529,25868.7046286469,25873.569715942253,41.349609375,20,0,1,1,1,10333.76015625,-4.865087295351259,2,1
2025-10-24 04:50:00+00:00,25834.900390625,25844.849609375,25824.94921875,25836.75,0.0,9.094886428462344e-05,25858.053085764604,25868.96725144947,19.900390625,20,0,1,1,1,10334.7,-10.91416568486602,2,1
